FID,Province,Municipali,CAT_B,WardNo,District,DistrictCo,Date,WardID,WardLabel,Shape__Area,Shape__Length
35,Western Cape,Breede Valley Local Municipality,WC025,14,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205014,WC025_14,1435868.94580078,5131.87229649817
36,Western Cape,Breede Valley Local Municipality,WC025,15,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205015,WC025_15,74596421.1000977,48931.2356901134
37,Western Cape,Breede Valley Local Municipality,WC025,16,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205016,WC025_16,2189781.71337891,8130.42253460802
38,Western Cape,Breede Valley Local Municipality,WC025,17,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205017,WC025_17,524926.181152344,3531.1142833051
39,Western Cape,Breede Valley Local Municipality,WC025,18,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205018,WC025_18,678089763.872559,149997.575473738
40,Western Cape,Breede Valley Local Municipality,WC025,19,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205019,WC025_19,1256461744.27832,180154.54370421
41,Western Cape,Breede Valley Local Municipality,WC025,20,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205020,WC025_20,356919511.675293,110681.107140045
42,Western Cape,Breede Valley Local Municipality,WC025,21,Cape Winelands,DC2,11/24/2020 12:00:00 AM,10205021,WC025_21,14614319.3774414,20272.8447487391
43,Western Cape,Cape Agulhas Local Municipality,WC033,1,Overberg,DC3,11/24/2020 12:00:00 AM,10303001,WC033_1,667102395.157227,186242.951030587
44,Western Cape,Cape Agulhas Local Municipality,WC033,2,Overberg,DC3,11/24/2020 12:00:00 AM,10303002,WC033_2,897614261.871094,193451.862418714
45,Western Cape,Cape Agulhas Local Municipality,WC033,3,Overberg,DC3,11/24/2020 12:00:00 AM,10303003,WC033_3,2519534.54492188,8332.59464057813
46,Western Cape,Cape Agulhas Local Municipality,WC033,4,Overberg,DC3,11/24/2020 12:00:00 AM,10303004,WC033_4,476241376.479492,118083.146734863
47,Western Cape,Cape Agulhas Local Municipality,WC033,5,Overberg,DC3,11/24/2020 12:00:00 AM,10303005,WC033_5,60286083.9863281,48431.7083576176
48,Western Cape,Cape Agulhas Local Municipality,WC033,6,Overberg,DC3,11/24/2020 12:00:00 AM,10303006,WC033_6,3017440448.62695,448101.16946376
49,Western Cape,Cederberg Local Municipality,WC012,1,West Coast,DC1,11/24/2020 12:00:00 AM,10102001,WC012_1,1648671349.44092,300346.540575778
50,Western Cape,Cederberg Local Municipality,WC012,2,West Coast,DC1,11/24/2020 12:00:00 AM,10102002,WC012_2,22716435.8579102,27830.9201958225
51,Western Cape,Cederberg Local Municipality,WC012,3,West Coast,DC1,11/24/2020 12:00:00 AM,10102003,WC012_3,101696233.93457,53932.2091897014
52,Western Cape,Cederberg Local Municipality,WC012,4,West Coast,DC1,11/24/2020 12:00:00 AM,10102004,WC012_4,2484241049.87451,339378.342693504
53,Western Cape,Cederberg Local Municipality,WC012,5,West Coast,DC1,11/24/2020 12:00:00 AM,10102005,WC012_5,944459286.585449,149131.172300608
54,Western Cape,Cederberg Local Municipality,WC012,6,West Coast,DC1,11/24/2020 12:00:00 AM,10102006,WC012_6,6027887933.11328,634464.412541819
55,Western Cape,City of Cape Town Metropolitan Municipality,CPT,1,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100001,CPT_1,28611638.8842773,26042.7524607585
56,Western Cape,City of Cape Town Metropolitan Municipality,CPT,2,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100002,CPT_2,14467456.1982422,19802.1371750261
57,Western Cape,City of Cape Town Metropolitan Municipality,CPT,3,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100003,CPT_3,15846754.5063477,18212.8125066843
58,Western Cape,City of Cape Town Metropolitan Municipality,CPT,4,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100004,CPT_4,18373191.5068359,24413.1346188911
59,Western Cape,City of Cape Town Metropolitan Municipality,CPT,5,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100005,CPT_5,23717528.6513672,27716.755855066
60,Western Cape,City of Cape Town Metropolitan Municipality,CPT,6,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100006,CPT_6,9630361.57519531,17513.432036614
61,Western Cape,City of Cape Town Metropolitan Municipality,CPT,7,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100007,CPT_7,13975417.9267578,20183.9895957513
62,Western Cape,City of Cape Town Metropolitan Municipality,CPT,8,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100008,CPT_8,22554645.2363281,23760.3089284472
63,Western Cape,City of Cape Town Metropolitan Municipality,CPT,9,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100009,CPT_9,16204361.5703125,19704.1338645412
64,Western Cape,City of Cape Town Metropolitan Municipality,CPT,10,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100010,CPT_10,19351710.965332,24220.0369054884
65,Western Cape,City of Cape Town Metropolitan Municipality,CPT,11,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100011,CPT_11,15845187.4790039,20144.7862937324
66,Western Cape,City of Cape Town Metropolitan Municipality,CPT,12,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100012,CPT_12,6334192.34814453,11853.8860078045
67,Western Cape,City of Cape Town Metropolitan Municipality,CPT,13,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100013,CPT_13,6041202.83300781,12137.7621634193
68,Western Cape,City of Cape Town Metropolitan Municipality,CPT,14,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100014,CPT_14,49084580.2431641,45281.5437599787
69,Western Cape,City of Cape Town Metropolitan Municipality,CPT,15,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100015,CPT_15,28923646.1635742,31206.5468556939
70,Western Cape,City of Cape Town Metropolitan Municipality,CPT,16,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100016,CPT_16,17507319.9360352,16957.2544429668
71,Western Cape,City of Cape Town Metropolitan Municipality,CPT,17,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100017,CPT_17,10858808.1577148,16140.4448467615
72,Western Cape,City of Cape Town Metropolitan Municipality,CPT,18,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100018,CPT_18,2905783.71923828,8917.00044285307
73,Western Cape,City of Cape Town Metropolitan Municipality,CPT,19,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100019,CPT_19,12497317.347168,18538.9076466022
74,Western Cape,City of Cape Town Metropolitan Municipality,CPT,20,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100020,CPT_20,3268276.86865234,7478.16559362287
75,Western Cape,City of Cape Town Metropolitan Municipality,CPT,21,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100021,CPT_21,16080803.9707031,20114.2823915157
76,Western Cape,City of Cape Town Metropolitan Municipality,CPT,22,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100022,CPT_22,23998569.753418,24148.2044284498
77,Western Cape,City of Cape Town Metropolitan Municipality,CPT,23,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100023,CPT_23,176098498.848633,67532.0649927439
78,Western Cape,City of Cape Town Metropolitan Municipality,CPT,24,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100024,CPT_24,9307407.84130859,16733.9490118664
79,Western Cape,City of Cape Town Metropolitan Municipality,CPT,25,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100025,CPT_25,5264125.84033203,9424.66307791795
80,Western Cape,City of Cape Town Metropolitan Municipality,CPT,26,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100026,CPT_26,9663172.91113281,14525.1039110292
81,Western Cape,City of Cape Town Metropolitan Municipality,CPT,27,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100027,CPT_27,9907761.15869141,14836.9471786458
82,Western Cape,City of Cape Town Metropolitan Municipality,CPT,28,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100028,CPT_28,13931053.8823242,17430.5259967098
83,Western Cape,City of Cape Town Metropolitan Municipality,CPT,29,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100029,CPT_29,247553626.644043,87807.9449810995
84,Western Cape,City of Cape Town Metropolitan Municipality,CPT,30,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100030,CPT_30,5651406.24902344,12459.5768680746
85,Western Cape,City of Cape Town Metropolitan Municipality,CPT,31,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100031,CPT_31,9702999.14550781,17571.3404733385
86,Western Cape,City of Cape Town Metropolitan Municipality,CPT,32,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100032,CPT_32,288652696.375977,107086.331412603
87,Western Cape,City of Cape Town Metropolitan Municipality,CPT,33,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100033,CPT_33,2672640.87890625,10365.1928616194
88,Western Cape,City of Cape Town Metropolitan Municipality,CPT,34,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100034,CPT_34,2370700.01953125,7756.9409435839
89,Western Cape,City of Cape Town Metropolitan Municipality,CPT,35,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100035,CPT_35,6597811.55224609,12746.8124048514
90,Western Cape,City of Cape Town Metropolitan Municipality,CPT,36,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100036,CPT_36,3833874.86914063,12361.382598019
91,Western Cape,City of Cape Town Metropolitan Municipality,CPT,37,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100037,CPT_37,2428883.22509766,7310.12057948345
92,Western Cape,City of Cape Town Metropolitan Municipality,CPT,38,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100038,CPT_38,2566386.00488281,8585.10953137454
93,Western Cape,City of Cape Town Metropolitan Municipality,CPT,39,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100039,CPT_39,3474875.8125,10244.4355084178
94,Western Cape,City of Cape Town Metropolitan Municipality,CPT,40,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100040,CPT_40,2831031.63574219,10144.3386652098
